date,open,close ,vol ('000)
01:00,161.17,161.26,51.82
01:01,161.26,161.37,61.88
01:02,161.35,161.37,58.7
01:03,161.36,161.56,173.53
01:04,161.56,161.85,351.04
01:05,161.86,161.86,373.48
01:06,161.83,161.93,422.26
01:07,161.93,162.12,245.96
01:08,162.11,161.96,222.37
01:09,161.96,161.84,151.25
01:10,161.91,161.94,155.9
01:11,161.97,161.96,139.2
01:12,161.98,161.76,185.46
01:13,161.77,161.67,170.58
01:14,161.68,161.66,76.36
01:15,161.66,161.68,69.84
01:16,161.68,161.62,75.2
01:17,161.63,161.59,132.39
01:18,161.6,161.75,181.24
01:19,161.75,161.9,151.72
01:20,161.92,161.82,126.43
01:21,161.83,161.88,60.42
01:22,161.88,162.01,168.85
01:23,162,161.94,138.84
01:24,161.94,161.98,55.18
01:25,161.95,161.96,180.14
01:26,161.97,162,120.34
01:27,162.01,161.87,142.99
01:28,161.88,162.01,100.29
01:29,161.99,162.2,295.67
01:30,162.17,162.29,310.68
01:31,162.28,162.57,645.53
01:32,162.57,162.54,332.75
01:33,162.58,162.79,403.33
01:34,162.8,162.86,356.67
01:35,162.87,162.89,326.16
01:36,162.89,163.22,591.98
01:37,163.24,163.17,530.79
01:38,163.19,163.2,293.21
01:39,163.22,163.24,373.6
01:40,163.27,163.36,456.71
01:41,163.37,163.28,278.87
01:42,163.3,163.55,438.05
01:43,163.55,163.29,380.2
01:44,163.29,163.33,190.68
01:45,163.33,163.23,162.6
01:46,163.23,163.18,228.03
01:47,163.2,163.1,256.29
01:48,163.1,162.91,386.18
01:49,162.91,163.04,215.51
01:50,163.06,163,148.1
01:51,162.99,163.2,162.06
01:52,163.19,163.3,297.57
01:53,163.3,163.34,238.75
01:54,163.31,163.5,288.23
01:55,163.53,163.75,482.66
01:56,163.72,163.56,439.33
01:57,163.56,163.56,426.52
01:58,163.58,163.3,356.93
01:59,163.32,162.84,580.26
02:00,162.83,163.09,351.11
02:01,163.09,162.94,281.6
02:02,162.96,162.61,426.14
02:03,162.59,162.7,236.76
02:04,162.69,163,208.85
02:05,163.01,162.82,229.97
02:06,162.8,162.95,150.17
02:07,162.97,163.22,319.66
02:08,163.22,163.08,241.33
02:09,163.1,162.92,193.25
02:10,162.92,163.02,125.08
02:11,162.96,162.86,150.57
02:12,162.82,162.86,167.46
02:13,162.87,162.81,127.14
02:14,162.84,162.91,113.77
02:15,162.88,163.11,269.31
02:16,163.11,163.42,698.79
02:17,163.43,163.28,572.93
02:18,163.29,163.32,492.57
02:19,163.33,163.07,371.79
02:20,163.08,162.73,411.64
02:21,162.7,162.04,614.98
02:22,162.08,162.29,564.87
02:23,162.3,162.15,358.37
02:24,162.16,162.04,299.44
02:25,162.08,161.7,361.03
02:26,161.71,161.82,312.11
02:27,161.78,161.75,227.25
02:28,161.78,161.76,159.61
02:29,161.81,161.95,230.72
02:30,161.93,162.12,174.89
02:31,162.15,161.98,166.02
02:32,161.99,162,163.62
02:33,162.02,162.25,336.38
02:34,162.26,161.87,296.38
02:35,161.84,161.39,704.01
02:36,161.41,160.88,637.6
02:37,160.86,160.58,885.86
02:38,160.57,160.18,578.69
02:39,160.2,160.61,483.47
02:40,160.58,160.17,804.77
02:41,160.18,160.42,244.14
02:42,160.45,160.49,325.23
02:43,160.5,160.38,252.23
02:44,160.39,160.8,286.83
02:45,160.76,160.86,236.39
02:46,160.88,160.95,193.98
02:47,160.94,160.82,209.24
02:48,160.84,160.87,171.31
02:49,160.89,160.56,824.31
02:50,160.6,161.1,515.57
02:51,161.01,160.27,481.3
02:52,160.29,160.2,489
02:53,160.23,160.13,221.79
02:54,160.11,160.15,422.32
02:55,160.11,160.43,374.8
02:56,160.45,160.1,334.65
02:57,160.15,159.82,463.76
02:58,159.82,159.94,356.23
02:59,159.95,159.54,393.75